Date,Time,Open,High,Low,Close,Volume
2018.06.06,11:30,1.29461,1.29477,1.29429,1.29475,1484
2018.06.06,11:45,1.29475,1.29499,1.29440,1.29456,1249
2018.06.06,12:00,1.29456,1.29534,1.29444,1.29501,1576
2018.06.06,12:15,1.29501,1.29502,1.29422,1.29439,1388
2018.06.06,12:30,1.29439,1.29448,1.29364,1.29365,1679
2018.06.06,12:45,1.29365,1.29376,1.29246,1.29258,1425
2018.06.06,13:00,1.29256,1.29269,1.29173,1.29173,1451
2018.06.06,13:15,1.29173,1.29193,1.29116,1.29183,1607
2018.06.06,13:30,1.29183,1.29230,1.29165,1.29207,1233
2018.06.06,13:45,1.29207,1.29230,1.29183,1.29195,1401
2018.06.06,14:00,1.29196,1.29199,1.29054,1.29064,1497
2018.06.06,14:15,1.29064,1.29130,1.29032,1.29071,1196
2018.06.06,14:30,1.29068,1.29086,1.28985,1.29070,1385
2018.06.06,14:45,1.29070,1.29091,1.28901,1.28914,1580
2018.06.06,15:00,1.28914,1.28969,1.28781,1.28795,2399
2018.06.06,15:15,1.28790,1.28840,1.28641,1.28687,2392
2018.06.06,15:30,1.28681,1.28800,1.28565,1.28766,2810
2018.06.06,15:45,1.28765,1.28948,1.28736,1.28895,2473
2018.06.06,16:00,1.28897,1.28919,1.28766,1.28843,1977
2018.06.06,16:15,1.28842,1.28845,1.28737,1.28774,2022
2018.06.06,16:30,1.28775,1.28787,1.28690,1.28700,2364
2018.06.06,16:45,1.28702,1.28766,1.28610,1.28676,2991
2018.06.06,17:00,1.28674,1.28862,1.28614,1.28800,3221
2018.06.06,17:15,1.28800,1.28877,1.28729,1.28803,2935
2018.06.06,17:30,1.28804,1.29111,1.28804,1.28960,4145
2018.06.06,17:45,1.28959,1.29092,1.28908,1.29067,3563
2018.06.06,18:00,1.29065,1.29077,1.28939,1.29051,2600
2018.06.06,18:15,1.29052,1.29142,1.29031,1.29128,2767
2018.06.06,18:30,1.29130,1.29136,1.29037,1.29096,2203
2018.06.06,18:45,1.29096,1.29110,1.29038,1.29073,2247
2018.06.06,19:00,1.29070,1.29177,1.29069,1.29098,1740
2018.06.06,19:15,1.29098,1.29195,1.29092,1.29167,1628
2018.06.06,19:30,1.29169,1.29225,1.29166,1.29210,1345
2018.06.06,19:45,1.29211,1.29335,1.29203,1.29314,1483
2018.06.06,20:00,1.29314,1.29416,1.29304,1.29401,1629
2018.06.06,20:15,1.29400,1.29463,1.29292,1.29341,1691
2018.06.06,20:30,1.29342,1.29444,1.29331,1.29420,1599
2018.06.06,20:45,1.29420,1.29444,1.29392,1.29431,1870
2018.06.06,21:00,1.29431,1.29441,1.29360,1.29381,1274
2018.06.06,21:15,1.29382,1.29484,1.29339,1.29476,1423
2018.06.06,21:30,1.29476,1.29498,1.29430,1.29465,1087
2018.06.06,21:45,1.29465,1.29483,1.29436,1.29455,747
2018.06.06,22:00,1.29455,1.29566,1.29454,1.29563,1220
2018.06.06,22:15,1.29563,1.29567,1.29491,1.29506,779
2018.06.06,22:30,1.29506,1.29508,1.29463,1.29490,962
2018.06.06,22:45,1.29491,1.29593,1.29490,1.29582,993
2018.06.06,23:00,1.29586,1.29617,1.29546,1.29560,1095
2018.06.06,23:15,1.29558,1.29573,1.29500,1.29525,716
2018.06.06,23:30,1.29527,1.29534,1.29497,1.29498,1075
2018.06.06,23:45,1.29497,1.29499,1.29407,1.29422,532
2018.06.07,00:00,1.29422,1.29473,1.29415,1.29441,339
2018.06.07,00:15,1.29441,1.29453,1.29434,1.29447,48
2018.06.07,00:30,1.29448,1.29450,1.29440,1.29447,129
2018.06.07,00:45,1.29448,1.29478,1.29402,1.29428,903
2018.06.07,01:00,1.29426,1.29476,1.29421,1.29443,610
2018.06.07,01:15,1.29446,1.29446,1.29409,1.29420,251
2018.06.07,01:30,1.29427,1.29447,1.29426,1.29435,423
2018.06.07,01:45,1.29436,1.29438,1.29406,1.29406,172
2018.06.07,02:00,1.29407,1.29443,1.29401,1.29437,376
2018.06.07,02:15,1.29435,1.29451,1.29426,1.29439,552
2018.06.07,02:30,1.29438,1.29460,1.29426,1.29429,669
2018.06.07,02:45,1.29429,1.29466,1.29419,1.29458,562
2018.06.07,03:00,1.29458,1.29478,1.29451,1.29457,1115
2018.06.07,03:15,1.29457,1.29468,1.29392,1.29405,1411
2018.06.07,03:30,1.29405,1.29420,1.29352,1.29354,975
2018.06.07,03:45,1.29354,1.29382,1.29345,1.29357,888
2018.06.07,04:00,1.29356,1.29389,1.29343,1.29373,1030
2018.06.07,04:15,1.29371,1.29394,1.29347,1.29376,1019
2018.06.07,04:30,1.29375,1.29437,1.29367,1.29428,1176
2018.06.07,04:45,1.29427,1.29492,1.29424,1.29486,931
2018.06.07,05:00,1.29483,1.29512,1.29451,1.29479,1403
2018.06.07,05:15,1.29478,1.29504,1.29460,1.29480,1268
2018.06.07,05:30,1.29480,1.29506,1.29433,1.29434,920
2018.06.07,05:45,1.29434,1.29468,1.29432,1.29437,1095
2018.06.07,06:00,1.29438,1.29469,1.29430,1.29458,1436
2018.06.07,06:15,1.29457,1.29464,1.29442,1.29444,763
2018.06.07,06:30,1.29443,1.29462,1.29434,1.29460,633
2018.06.07,06:45,1.29459,1.29485,1.29452,1.29472,594
2018.06.07,07:00,1.29473,1.29493,1.29459,1.29465,750
2018.06.07,07:15,1.29465,1.29479,1.29453,1.29460,1028
2018.06.07,07:30,1.29459,1.29461,1.29442,1.29443,988
2018.06.07,07:45,1.29443,1.29444,1.29392,1.29397,1204
2018.06.07,08:00,1.29398,1.29399,1.29367,1.29369,1522
2018.06.07,08:15,1.29367,1.29413,1.29360,1.29401,1164
2018.06.07,08:30,1.29402,1.29408,1.29362,1.29362,1273
2018.06.07,08:45,1.29362,1.29394,1.29354,1.29394,1352
2018.06.07,09:00,1.29394,1.29490,1.29393,1.29488,1421
2018.06.07,09:15,1.29489,1.29505,1.29454,1.29470,2230
2018.06.07,09:30,1.29471,1.29531,1.29452,1.29526,1939
2018.06.07,09:45,1.29526,1.29565,1.29491,1.29530,1759
2018.06.07,10:00,1.29529,1.29565,1.29456,1.29469,2212
2018.06.07,10:15,1.29469,1.29489,1.29440,1.29455,1318
2018.06.07,10:30,1.29454,1.29514,1.29454,1.29463,1216
2018.06.07,10:45,1.29463,1.29489,1.29404,1.29478,1463
